id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,first_review,last_review,instant_bookable,has_availability
17131,32015.0,38.92644,-77.07646,100%,100%,6.0,2.0,1.5,1.0,$64.00,31.0,1125.0,0.0,16.0,46.0,321.0,109.0,1.0,0.0,4.66,4.57,4.74,4.78,4.85,4.77,4.65,4.0,1.0,3.0,0.59,62.0,3968.0,1.0,4.0,0.0,31.0,1125.0,Private room in home,"Reddick, FL",within an hour,t,t,"Cathedral Heights, McLean Gardens, Glover Park",Private room in home,Private room,24/03/2010,13/01/2025,f,t
27682,36646.0,38.9665,-77.00645,100%,86%,2.0,1.0,1.0,1.0,$70.00,90.0,360.0,0.0,0.0,12.0,287.0,12.0,1.0,0.0,5.0,4.67,4.83,5.0,5.0,4.33,4.5,2.0,1.0,1.0,0.07,180.0,12600.0,1.0,2.0,0.0,90.0,360.0,Entire home,"Washington, DC",within a few hours,t,t,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Entire home,Entire home/apt,12/05/2010,03/05/2025,f,t
32087,138459.0,38.91766,-77.04598,100%,98%,18.0,2.0,1.0,1.0,$229.00,1.0,30.0,30.0,60.0,87.0,330.0,16.0,1.0,0.0,4.87,4.86,4.93,5.0,5.0,4.86,4.71,11.0,0.0,11.0,0.1,6.0,1374.0,1.0,16.0,0.0,1.0,1125.0,Private room in bed and breakfast,"Washington, DC",within an hour,t,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Private room in bed and breakfast,Private room,25/09/2011,25/09/2024,t,t
52092,50148.0,38.9077,-77.02431,90%,89%,7.0,4.0,,,,31.0,183.0,0.0,0.0,18.0,273.0,197.0,1.0,0.0,4.35,4.44,4.49,4.7,4.55,4.57,4.46,2.0,2.0,0.0,1.1,62.0,,2.0,5.0,0.0,31.0,183.0,Entire rental unit,"Berkeley, CA",within a few hours,f,t,"Shaw, Logan Circle",Entire rental unit,Entire home/apt,26/09/2010,30/11/2024,f,t
62122,301975.0,38.92238,-77.04709,100%,96%,1.0,3.0,1.0,2.0,$84.00,5.0,150.0,7.0,11.0,16.0,140.0,167.0,29.0,3.0,4.86,4.85,4.66,4.89,4.91,4.95,4.87,1.0,1.0,0.0,1.07,255.0,21420.0,2.0,1.0,0.0,4.9,150.0,Entire townhouse,"Washington D.C., DC",within a few hours,t,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire townhouse,Entire home/apt,31/08/2012,01/06/2025,f,t
67483,332901.0,38.934628,-77.029839,100%,100%,1.0,3.0,1.0,2.0,$76.00,31.0,365.0,0.0,0.0,8.0,213.0,165.0,3.0,1.0,4.52,4.7,4.48,4.72,4.76,4.62,4.54,1.0,1.0,0.0,0.94,186.0,14136.0,1.0,1.0,0.0,31.0,365.0,Entire guest suite,"Washington, DC",within a few hours,t,f,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire guest suite,Entire home/apt,06/02/2011,01/06/2025,f,t
93551,481929.0,38.91433,-77.01876,100%,67%,5.0,2.0,1.5,1.0,$79.00,31.0,365.0,27.0,57.0,87.0,362.0,104.0,1.0,0.0,4.75,4.77,4.46,4.92,4.94,4.53,4.56,4.0,0.0,4.0,0.6,62.0,4898.0,1.0,4.0,0.0,31.0,365.0,Private room in townhouse,"Washington, DC",within a day,t,t,"Howard University, Le Droit Park, Cardozo/Shaw",Private room in townhouse,Private room,19/04/2011,14/12/2024,f,t
116951,481929.0,38.91436,-77.0181,100%,67%,5.0,2.0,1.5,2.0,$71.00,31.0,1125.0,0.0,20.0,50.0,325.0,87.0,2.0,0.0,4.69,4.73,4.43,4.87,4.85,4.56,4.5,4.0,0.0,4.0,0.51,124.0,8804.0,1.0,4.0,0.0,31.0,1125.0,Private room in townhouse,"Washington, DC",within a day,t,t,"Howard University, Le Droit Park, Cardozo/Shaw",Private room in townhouse,Private room,04/06/2011,01/11/2024,f,t
150109,723470.0,38.91525,-77.04001,,0%,1.0,2.0,,,,31.0,365.0,14.0,38.0,38.0,70.0,30.0,0.0,0.0,4.83,4.9,4.69,5.0,4.97,4.97,4.76,1.0,1.0,0.0,0.18,0.0,,1.0,1.0,0.0,31.0,365.0,Entire rental unit,"Washington, DC",,f,t,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,04/11/2011,01/03/2022,f,t
153545,738459.0,38.94286,-77.04417,100%,99%,6.0,1.0,2.0,1.0,$67.00,30.0,1120.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,4.67,4.76,4.54,4.92,4.83,4.62,4.65,4.0,3.0,1.0,0.24,60.0,4020.0,1.0,5.0,0.0,30.0,1120.0,Private room in home,"Washington D.C., DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Private room in home,Private room,15/09/2011,13/12/2024,f,t
155859,745305.0,38.96628,-77.0309,100%,0%,2.0,1.0,,,,31.0,62.0,0.0,0.0,26.0,86.0,129.0,0.0,0.0,4.87,4.84,4.81,4.92,4.96,4.71,4.87,2.0,1.0,1.0,0.76,0.0,,,2.0,0.0,31.0,1125.0,Private room in home,"Washington D.C., DC",within an hour,f,t,"Takoma, Brightwood, Manor Park",Private room in home,Private room,25/07/2011,28/10/2019,f,t
