id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,first_review,last_review,instant_bookable,has_availability
9371337,19684173.0,38.94756,-77.02518,100%,100%,3.0,4.0,1.0,2.0,$74.00,1.0,1125.0,3.0,11.0,29.0,279.0,97.0,8.0,1.0,4.75,4.86,4.85,4.98,4.91,4.76,4.65,2.0,2.0,0.0,0.84,48.0,3552.0,1.0,3.0,0.0,1.0,1125.0,Entire home,"Washington, D.C., DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Entire home,Entire home/apt,13/12/2015,26/05/2025,f,t
9410545,138459.0,38.91766,-77.04598,100%,98%,18.0,2.0,1.0,1.0,$229.00,1.0,30.0,27.0,54.0,81.0,328.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,3.5,11.0,0.0,11.0,0.02,0.0,0.0,1.0,16.0,0.0,1.0,1125.0,Private room in bed and breakfast,"Washington, DC",within an hour,t,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Private room in bed and breakfast,Private room,18/03/2016,05/11/2022,t,t
9428134,37580895.0,38.89935,-77.05165,63%,30%,9.0,4.0,1.0,2.0,$135.00,31.0,1125.0,0.0,24.0,54.0,329.0,34.0,1.0,1.0,4.71,4.79,4.65,4.52,4.76,4.85,4.58,1.0,1.0,0.0,0.31,62.0,8370.0,1.0,2.0,0.0,31.0,1125.0,Entire rental unit,"Edenton, NC",within a day,f,f,"West End, Foggy Bottom, GWU",Entire rental unit,Entire home/apt,11/07/2016,21/05/2025,f,t
9430567,3448315.0,38.92388,-77.04436,100%,100%,15.0,12.0,2.5,6.0,$575.00,31.0,1125.0,1.0,2.0,2.0,173.0,58.0,0.0,0.0,4.74,4.79,4.64,4.91,4.93,4.98,4.66,12.0,5.0,7.0,0.52,0.0,0.0,5.0,15.0,0.0,31.0,1125.0,Entire townhouse,"Washington, DC",within an hour,f,f,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire townhouse,Entire home/apt,12/04/2016,28/05/2022,f,t
9473056,13716353.0,38.89165,-76.99154,100%,88%,1.0,2.0,1.0,2.0,$103.00,31.0,1125.0,0.0,21.0,35.0,291.0,24.0,2.0,0.0,4.96,4.92,5.0,5.0,5.0,4.96,4.92,1.0,1.0,0.0,0.21,124.0,12772.0,1.0,1.0,0.0,31.0,1125.0,Entire guest suite,"Washington, DC",within a day,t,t,"Capitol Hill, Lincoln Park",Entire guest suite,Entire home/apt,08/02/2016,13/04/2025,f,t
9486921,49170773.0,38.94146,-76.98618,,67%,1.0,2.0,1.0,1.0,$76.00,1.0,20.0,8.0,17.0,17.0,17.0,194.0,10.0,0.0,4.77,4.8,4.79,4.9,4.94,4.63,4.74,1.0,1.0,0.0,1.68,60.0,4560.0,1.0,1.0,0.0,1.3,20.0,Entire guest suite,"Washington, DC",,t,t,"North Michigan Park, Michigan Park, University Heights",Entire guest suite,Entire home/apt,18/12/2015,15/12/2024,f,t
9489305,2851775.0,38.910903,-77.085703,100%,100%,1.0,2.0,1.0,2.0,$266.00,3.0,1125.0,30.0,60.0,90.0,365.0,27.0,3.0,1.0,4.41,4.63,4.7,4.67,4.7,4.77,4.52,1.0,1.0,0.0,0.23,18.0,4788.0,2.0,1.0,0.0,3.0,1125.0,Entire rental unit,"Washington, DC",within an hour,f,t,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Entire rental unit,Entire home/apt,21/11/2015,08/06/2025,f,t
9644823,5096803.0,38.83988,-76.99506,,,7.0,3.0,1.0,1.0,$95.00,31.0,60.0,27.0,57.0,87.0,362.0,150.0,0.0,0.0,4.72,4.85,4.78,4.87,4.89,4.25,4.73,1.0,1.0,0.0,1.32,0.0,0.0,0.0,1.0,0.0,31.0,1125.0,Entire guest suite,"Washington, DC",,f,f,"Congress Heights, Bellevue, Washington Highlands",Entire guest suite,Entire home/apt,05/02/2016,02/07/2023,f,t
9704912,36275317.0,38.91602,-77.00311,100%,50%,1.0,4.0,,,,30.0,365.0,0.0,0.0,0.0,167.0,28.0,4.0,1.0,4.89,4.85,4.75,5.0,5.0,4.45,4.6,1.0,1.0,0.0,0.26,240.0,,2.0,1.0,0.0,30.0,365.0,Entire townhouse,"Washington, DC",within a few hours,t,t,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire townhouse,Entire home/apt,24/07/2016,31/05/2025,f,t
9732220,44218721.0,38.92671,-77.05426,100%,100%,1.0,4.0,1.0,1.0,$176.00,2.0,1125.0,7.0,30.0,54.0,314.0,391.0,56.0,3.0,4.93,4.94,4.88,4.96,4.96,4.98,4.87,1.0,1.0,0.0,3.48,255.0,44880.0,1.0,1.0,0.0,2.0,1125.0,Entire home,"Washington, DC",within an hour,t,t,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home,Entire home/apt,22/03/2016,04/06/2025,t,t
9854986,22239362.0,38.89519,-76.98655,100%,99%,3.0,2.0,1.0,1.0,$95.00,2.0,14.0,20.0,42.0,69.0,335.0,566.0,44.0,3.0,4.91,4.95,4.93,4.98,4.96,4.86,4.86,2.0,2.0,0.0,4.89,255.0,24225.0,0.0,3.0,0.0,2.0,1125.0,Entire home,"Washington, DC",within an hour,t,t,"Union Station, Stanton Park, Kingman Park",Entire home,Entire home/apt,14/12/2015,31/05/2025,f,t
9855531,20371167.0,38.86442,-76.98809,100%,100%,3.0,2.0,1.0,1.0,$65.00,3.0,40.0,14.0,14.0,14.0,14.0,245.0,7.0,2.0,4.79,4.91,4.78,4.92,4.88,4.42,4.8,2.0,0.0,2.0,2.16,42.0,2730.0,1.0,2.0,0.0,3.0,1125.0,Private room in home,"Washington, DC",within an hour,f,t,Historic Anacostia,Private room in home,Private room,02/03/2016,26/05/2025,f,t
9855547,20371167.0,38.86547,-76.9873,100%,100%,3.0,2.0,1.0,1.0,$54.00,3.0,40.0,10.0,10.0,10.0,10.0,297.0,8.0,2.0,4.74,4.84,4.72,4.89,4.89,4.47,4.73,2.0,0.0,2.0,2.58,48.0,2592.0,1.0,2.0,0.0,3.0,1125.0,Private room in home,"Washington, DC",within an hour,f,t,Historic Anacostia,Private room in home,Private room,30/12/2015,31/05/2025,f,t
9907100,3197708.0,38.94156,-77.03125,90%,100%,1.0,4.0,1.0,1.0,$91.00,3.0,730.0,2.0,7.0,24.0,24.0,72.0,12.0,1.0,4.79,4.94,4.83,4.97,4.9,4.8,4.86,1.0,1.0,0.0,0.67,72.0,6552.0,1.0,1.0,0.0,3.0,1125.0,Entire rental unit,"Washington, DC",within an hour,f,f,"Brightwood Park, Crestwood, Petworth",Entire rental unit,Entire home/apt,24/08/2016,26/05/2025,f,t
9920493,14692970.0,38.92446,-77.04199,100%,47%,14.0,3.0,1.0,2.0,$102.00,4.0,729.0,1.0,17.0,47.0,322.0,43.0,11.0,1.0,4.37,4.53,4.51,4.42,4.53,4.81,4.35,5.0,5.0,0.0,0.39,88.0,8976.0,1.0,5.0,0.0,4.0,729.0,Entire condo,"Washington, DC",within a few hours,f,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire condo,Entire home/apt,20/05/2016,24/05/2025,f,t
9954831,16644446.0,38.90141,-77.02239,100%,98%,186.0,5.0,2.0,3.0,$280.00,3.0,30.0,12.0,38.0,68.0,179.0,31.0,7.0,0.0,4.71,4.68,4.58,4.77,4.77,4.94,4.52,26.0,26.0,0.0,0.27,42.0,11760.0,2.0,75.0,0.0,3.0,30.0,Entire rental unit,United States,within an hour,t,t,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire rental unit,Entire home/apt,08/03/2016,07/04/2025,f,t
9973170,27550391.0,38.90915,-77.06228,100%,100%,2.0,4.0,1.0,2.0,$159.00,1.0,730.0,2.0,18.0,48.0,149.0,373.0,62.0,3.0,4.97,4.95,4.95,4.99,4.98,4.99,4.89,2.0,2.0,0.0,3.28,255.0,40545.0,1.0,2.0,0.0,1.0,730.0,Floor,"Washington, DC",within an hour,t,t,"Georgetown, Burleith/Hillandale",Floor,Entire home/apt,15/02/2016,12/06/2025,f,t
10021464,16644446.0,38.89721,-77.01883,100%,98%,186.0,5.0,2.0,3.0,$448.00,3.0,90.0,18.0,48.0,78.0,164.0,24.0,6.0,0.0,4.96,4.92,4.96,4.79,4.92,5.0,4.88,26.0,26.0,0.0,0.22,36.0,16128.0,2.0,75.0,0.0,3.0,90.0,Entire serviced apartment,United States,within an hour,t,t,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire serviced apartment,Entire home/apt,14/05/2016,09/04/2025,f,t
10021714,16644446.0,38.89767,-77.0257,100%,98%,186.0,5.0,2.0,3.0,$492.00,3.0,365.0,12.0,38.0,68.0,158.0,74.0,5.0,0.0,4.85,4.88,4.73,4.84,4.88,4.97,4.65,26.0,26.0,0.0,0.65,30.0,14760.0,2.0,75.0,0.0,3.0,365.0,Entire serviced apartment,United States,within an hour,t,t,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire serviced apartment,Entire home/apt,14/02/2016,26/02/2025,f,t
10021958,16644446.0,38.89691,-77.01687,100%,98%,186.0,5.0,,,,3.0,365.0,18.0,44.0,74.0,164.0,12.0,2.0,0.0,4.33,4.08,4.5,4.75,4.58,5.0,4.42,26.0,26.0,0.0,0.11,12.0,,2.0,75.0,0.0,3.0,365.0,Entire serviced apartment,United States,within an hour,t,t,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire serviced apartment,Entire home/apt,23/04/2016,15/01/2025,f,t
10059402,16644446.0,38.90067,-77.02328,100%,98%,186.0,5.0,2.0,3.0,$280.00,3.0,30.0,18.0,48.0,78.0,185.0,38.0,7.0,2.0,4.84,4.68,4.84,4.87,4.89,4.89,4.79,26.0,26.0,0.0,0.33,42.0,11760.0,2.0,75.0,0.0,3.0,30.0,Entire rental unit,United States,within an hour,t,t,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire rental unit,Entire home/apt,09/02/2016,02/06/2025,f,t
10059484,16644446.0,38.89485,-77.02404,100%,98%,186.0,5.0,2.0,3.0,$328.00,3.0,90.0,12.0,38.0,68.0,153.0,3.0,0.0,0.0,3.67,3.67,4.33,3.67,3.67,3.67,4.0,26.0,26.0,0.0,0.03,0.0,0.0,2.0,75.0,0.0,3.0,90.0,Entire serviced apartment,United States,within an hour,t,t,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire serviced apartment,Entire home/apt,10/03/2016,13/04/2017,f,t
10059646,16644446.0,38.89804,-77.02351,100%,98%,186.0,5.0,2.0,3.0,$280.00,3.0,90.0,18.0,44.0,74.0,185.0,19.0,6.0,1.0,4.79,4.79,4.79,4.95,4.89,5.0,4.63,26.0,26.0,0.0,0.17,36.0,10080.0,2.0,75.0,0.0,3.0,90.0,Entire rental unit,United States,within an hour,t,t,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire rental unit,Entire home/apt,11/05/2016,04/06/2025,f,t
10082572,46722229.0,38.9659,-77.00427,,100%,2.0,4.0,1.0,2.0,$89.00,30.0,1125.0,0.0,0.0,0.0,137.0,139.0,6.0,0.0,4.73,4.82,4.87,4.91,4.95,4.58,4.78,1.0,1.0,0.0,1.21,255.0,22695.0,2.0,1.0,0.0,30.0,1125.0,Entire home,"Washington, DC",,t,t,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Entire home,Entire home/apt,28/12/2015,07/03/2025,f,t
10097934,25197983.0,38.91216,-77.02359,80%,99%,3.0,6.0,2.5,2.0,$305.00,2.0,365.0,5.0,5.0,5.0,189.0,381.0,41.0,1.0,4.78,4.83,4.8,4.92,4.87,4.86,4.73,1.0,1.0,0.0,3.32,246.0,75030.0,2.0,1.0,0.0,2.0,1125.0,Entire home,"Washington, DC",within an hour,t,f,"Shaw, Logan Circle",Entire home,Entire home/apt,17/01/2016,22/05/2025,t,t
10104715,51854674.0,38.89019,-76.93841,,,1.0,2.0,1.0,1.0,$66.00,1.0,1125.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,4.83,5.0,4.81,4.97,4.97,4.39,4.86,1.0,1.0,0.0,0.34,6.0,396.0,1.0,1.0,0.0,1.0,1125.0,Entire guest suite,"Washington, DC",,f,t,"River Terrace, Benning, Greenway, Dupont Park",Entire guest suite,Entire home/apt,03/10/2016,31/01/2025,f,t
10311634,53056625.0,38.9225,-77.0409,100%,81%,1.0,2.0,1.0,1.0,$180.00,3.0,1125.0,20.0,39.0,69.0,69.0,77.0,7.0,0.0,4.83,4.94,4.9,5.0,4.97,4.95,4.8,1.0,1.0,0.0,0.69,42.0,7560.0,1.0,1.0,0.0,1.6,1125.0,Entire rental unit,"Washington, DC",within an hour,f,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire rental unit,Entire home/apt,25/03/2016,17/05/2025,f,t
10359296,3725621.0,38.93216,-76.98876,100%,99%,5.0,2.0,,,,31.0,120.0,0.0,0.0,0.0,43.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,4.67,4.33,5.0,2.0,0.0,2.0,0.03,0.0,,,3.0,0.0,31.0,120.0,Private room in home,"Washington, DC",within an hour,f,t,"Brookland, Brentwood, Langdon",Private room in home,Private room,16/01/2016,02/10/2023,t,t
10384001,44636030.0,38.89257,-77.00035,100%,92%,3.0,4.0,2.0,2.0,$157.00,3.0,7.0,12.0,32.0,62.0,62.0,230.0,31.0,1.0,4.79,4.86,4.89,4.93,4.86,4.96,4.79,1.0,0.0,1.0,2.04,186.0,29202.0,2.0,1.0,0.0,3.9,7.0,Private room in townhouse,"Washington, DC",within an hour,f,t,"Union Station, Stanton Park, Kingman Park",Private room in townhouse,Private room,13/03/2016,02/06/2025,f,t
10405545,53580080.0,38.8874605,-76.9992831,100%,100%,15.0,2.0,1.0,1.0,$135.00,2.0,365.0,6.0,14.0,20.0,249.0,188.0,43.0,1.0,4.91,4.92,4.94,4.96,4.95,4.94,4.78,12.0,12.0,0.0,1.67,255.0,34425.0,0.0,14.0,0.0,1.3,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,11/03/2016,14/06/2025,f,t
10429628,53719149.0,38.8944,-76.99769,100%,85%,2.0,3.0,1.0,1.0,$155.00,3.0,1125.0,2.0,2.0,20.0,278.0,22.0,7.0,0.0,4.91,4.95,5.0,5.0,4.95,4.95,4.82,1.0,1.0,0.0,0.22,42.0,6510.0,1.0,1.0,0.0,3.0,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Union Station, Stanton Park, Kingman Park",Entire rental unit,Entire home/apt,15/03/2017,25/04/2025,f,t
10436526,53759813.0,38.92675,-77.02872,,100%,2.0,6.0,2.0,4.0,$149.00,2.0,1125.0,15.0,28.0,45.0,264.0,318.0,9.0,2.0,4.87,4.91,4.88,4.94,4.93,4.87,4.82,1.0,1.0,0.0,2.81,54.0,8046.0,1.0,1.0,0.0,2.0,1125.0,Entire rental unit,"Washington, DC",,t,f,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,07/03/2016,10/06/2025,t,t
10453467,53857552.0,38.94347,-77.03499,100%,,1.0,2.0,,,,31.0,1125.0,0.0,0.0,0.0,167.0,65.0,0.0,0.0,4.97,4.94,4.97,5.0,5.0,4.83,4.88,1.0,0.0,1.0,0.57,0.0,,,1.0,0.0,31.0,1125.0,Private room in home,"Washington, DC",within a day,f,t,"Brightwood Park, Crestwood, Petworth",Private room in home,Private room,18/01/2016,27/05/2019,f,t
10499601,32601513.0,38.91218,-77.08784,100%,0%,4.0,2.0,1.0,1.0,$115.00,90.0,730.0,4.0,34.0,58.0,251.0,3.0,1.0,0.0,4.0,5.0,5.0,5.0,5.0,4.67,4.67,1.0,1.0,0.0,0.04,180.0,20700.0,1.0,1.0,0.0,90.0,730.0,Entire rental unit,"Miami, FL",within a day,f,t,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Entire rental unit,Entire home/apt,01/06/2019,10/08/2024,f,t
10526371,18393059.0,38.88299,-77.00673,100%,100%,9.0,4.0,1.0,2.0,$202.00,1.0,100.0,13.0,27.0,43.0,305.0,615.0,63.0,3.0,4.96,4.96,4.95,4.95,4.95,4.97,4.89,3.0,3.0,0.0,5.51,255.0,51510.0,1.0,8.0,0.0,3.0,1125.0,Entire townhouse,United States,within an hour,t,t,"Capitol Hill, Lincoln Park",Entire townhouse,Entire home/apt,18/04/2016,31/05/2025,t,t
10542403,54362762.0,38.89909,-76.98726,100%,100%,1.0,4.0,1.0,2.0,$141.00,3.0,320.0,12.0,23.0,26.0,26.0,327.0,38.0,4.0,4.97,4.98,4.98,4.97,4.99,4.82,4.94,1.0,1.0,0.0,2.99,228.0,32148.0,1.0,1.0,0.0,2.9,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Union Station, Stanton Park, Kingman Park",Entire rental unit,Entire home/apt,27/06/2016,11/06/2025,f,t
10543751,53580080.0,38.88759,-76.99931,100%,100%,15.0,2.0,1.0,1.0,$157.00,31.0,1125.0,6.0,14.0,20.0,254.0,56.0,0.0,0.0,4.96,4.98,4.91,4.93,4.96,4.96,4.8,12.0,12.0,0.0,0.5,0.0,0.0,0.0,14.0,0.0,31.0,1125.0,Entire serviced apartment,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire serviced apartment,Entire home/apt,25/03/2016,16/07/2023,f,t
10543985,53580080.0,38.8874721,-76.999219,100%,100%,15.0,4.0,1.0,2.0,$262.00,2.0,1125.0,0.0,0.0,0.0,168.0,129.0,36.0,0.0,4.82,4.92,4.86,4.94,4.96,4.93,4.73,12.0,12.0,0.0,1.14,216.0,56592.0,1.0,14.0,0.0,1.3,1125.0,Entire serviced apartment,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire serviced apartment,Entire home/apt,03/03/2016,13/04/2025,f,t
10544363,53580080.0,38.88745,-76.99925,100%,100%,15.0,4.0,1.0,2.0,$314.00,2.0,1125.0,0.0,0.0,0.0,168.0,82.0,7.0,0.0,4.82,4.93,4.85,4.94,4.87,4.99,4.71,12.0,12.0,0.0,0.73,42.0,13188.0,1.0,14.0,0.0,1.3,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,12/03/2016,16/02/2025,f,t
10551108,46282344.0,38.88231,-76.99749,90%,100%,1.0,4.0,,,,2.0,1125.0,0.0,0.0,0.0,0.0,151.0,9.0,2.0,4.93,4.98,4.93,4.98,5.0,4.99,4.83,1.0,1.0,0.0,1.34,54.0,,1.0,1.0,0.0,2.0,1125.0,Entire rental unit,"Washington, DC",within a few hours,f,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,17/03/2016,22/05/2025,f,t
10617103,5326343.0,38.88255,-77.02036,,0%,1.0,9.0,3.5,4.0,$385.00,31.0,1125.0,29.0,59.0,89.0,364.0,178.0,0.0,0.0,4.87,4.9,4.87,4.98,4.93,4.94,4.79,1.0,1.0,0.0,1.58,0.0,0.0,4.0,1.0,0.0,31.0,1125.0,Entire townhouse,"Washington, DC",,f,f,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Entire townhouse,Entire home/apt,07/03/2016,15/07/2023,t,t
10626368,16794398.0,38.88335,-76.9851,100%,99%,1.0,2.0,1.0,1.0,$124.00,2.0,14.0,4.0,12.0,31.0,176.0,530.0,63.0,3.0,4.85,4.93,4.84,4.95,4.94,4.92,4.87,1.0,1.0,0.0,4.67,255.0,31620.0,0.0,1.0,0.0,1.0,14.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,21/02/2016,30/05/2025,t,t
10654687,52821397.0,38.93469,-76.9768,100%,99%,2.0,4.0,1.0,1.0,$95.00,2.0,31.0,0.0,0.0,0.0,73.0,69.0,29.0,4.0,4.91,4.96,4.9,5.0,5.0,4.79,4.93,1.0,1.0,0.0,0.61,174.0,16530.0,1.0,2.0,0.0,2.0,1125.0,Entire guest suite,"Washington, DC",within an hour,t,t,"Brookland, Brentwood, Langdon",Entire guest suite,Entire home/apt,25/03/2016,08/06/2025,f,t
10694497,55252534.0,38.93834,-77.02664,100%,91%,1.0,4.0,1.0,1.0,$144.00,2.0,30.0,19.0,49.0,79.0,259.0,142.0,9.0,0.0,4.8,4.94,4.9,4.89,4.85,4.91,4.73,1.0,1.0,0.0,1.45,54.0,7776.0,1.0,1.0,0.0,2.0,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Entire rental unit,Entire home/apt,11/06/2017,06/04/2025,f,t
10785957,13959136.0,38.90048774,-77.00092555,100%,70%,1.0,7.0,,,,3.0,30.0,10.0,40.0,64.0,238.0,10.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,4.9,4.7,1.0,1.0,0.0,0.1,24.0,,3.0,1.0,0.0,3.0,30.0,Entire townhouse,"Washington, DC",within a few hours,f,t,"Union Station, Stanton Park, Kingman Park",Entire townhouse,Entire home/apt,22/01/2017,22/04/2025,f,t
10788926,55825734.0,38.93024,-77.03898,100%,98%,3.0,5.0,2.0,2.0,$223.00,1.0,28.0,17.0,47.0,75.0,243.0,172.0,17.0,1.0,4.9,4.94,4.85,4.95,4.91,4.96,4.81,1.0,1.0,0.0,1.62,102.0,22746.0,2.0,2.0,0.0,1.3,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,23/09/2016,31/05/2025,f,t
10860997,46326018.0,38.89411,-76.98617,100%,97%,5.0,2.0,1.5,1.0,$128.00,2.0,360.0,0.0,0.0,0.0,0.0,117.0,9.0,0.0,4.94,4.98,4.93,4.92,4.91,4.72,4.87,3.0,0.0,3.0,1.09,54.0,6912.0,1.0,4.0,0.0,2.0,360.0,Private room in townhouse,"Washington, DC",within an hour,t,t,"Union Station, Stanton Park, Kingman Park",Private room in townhouse,Private room,10/08/2016,25/04/2025,f,t
10875641,344019.0,38.94221878,-77.05854797,50%,6%,2.0,4.0,,,,2.0,1125.0,0.0,0.0,29.0,300.0,86.0,0.0,0.0,4.66,4.76,4.84,4.88,4.81,4.95,4.58,1.0,1.0,0.0,0.76,0.0,,2.0,1.0,0.0,2.0,1125.0,Entire rental unit,"Washington, DC",within a day,f,f,"North Cleveland Park, Forest Hills, Van Ness",Entire rental unit,Entire home/apt,24/03/2016,20/05/2024,f,t
10882532,15376899.0,38.93118,-77.03405,100%,,5.0,2.0,1.0,2.0,$245.00,180.0,1125.0,30.0,60.0,90.0,365.0,37.0,0.0,0.0,4.81,4.92,4.68,4.84,4.92,4.84,4.65,1.0,1.0,0.0,0.32,0.0,0.0,0.0,2.0,0.0,180.0,1125.0,Entire condo,"Seattle, WA",within an hour,f,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire condo,Entire home/apt,06/02/2016,01/04/2022,f,t
10978189,24669071.0,38.9171,-77.00989,100%,100%,1.0,6.0,,,,4.0,29.0,5.0,5.0,6.0,6.0,264.0,26.0,5.0,4.97,4.97,4.97,4.99,5.0,4.87,4.89,1.0,1.0,0.0,2.39,208.0,,2.0,1.0,0.0,4.0,29.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire rental unit,Entire home/apt,25/05/2016,16/06/2025,f,t
10999657,53610057.0,38.93031,-77.07285,100%,87%,5.0,6.0,2.0,4.0,$253.00,31.0,1125.0,13.0,23.0,53.0,143.0,160.0,2.0,0.0,4.86,4.91,4.87,4.92,4.91,4.96,4.83,1.0,1.0,0.0,1.46,124.0,31372.0,2.0,5.0,0.0,31.0,1125.0,Entire home,"Berryville, VA",within an hour,f,t,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home,Entire home/apt,19/06/2016,19/08/2024,f,t
11036034,57270424.0,38.93628,-77.05768,57%,0%,1.0,2.0,1.0,1.0,$65.00,60.0,1125.0,0.0,3.0,3.0,196.0,6.0,0.0,0.0,4.67,4.83,4.67,4.67,4.83,5.0,5.0,1.0,1.0,0.0,0.05,0.0,0.0,1.0,1.0,0.0,60.0,1125.0,Entire rental unit,"Washington, DC",within a day,f,t,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire rental unit,Entire home/apt,19/03/2016,15/11/2019,f,t
11126528,57817556.0,38.88267,-76.99885,100%,97%,1.0,4.0,,,,2.0,28.0,0.0,0.0,0.0,0.0,376.0,23.0,3.0,4.98,4.98,4.97,4.99,4.98,4.99,4.9,1.0,1.0,0.0,3.32,138.0,,1.0,1.0,0.0,2.0,1125.0,Entire guest suite,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire guest suite,Entire home/apt,04/03/2016,01/06/2025,f,t
11144448,2491932.0,38.94283,-77.02255,100%,87%,1.0,2.0,1.0,1.0,$105.00,3.0,1125.0,17.0,47.0,77.0,333.0,235.0,19.0,2.0,4.88,4.95,4.94,4.89,4.94,4.79,4.85,1.0,1.0,0.0,2.09,114.0,11970.0,1.0,1.0,0.0,3.0,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Entire rental unit,Entire home/apt,20/03/2016,08/06/2025,f,t
11168876,58113599.0,38.92245,-77.04767,89%,100%,1.0,4.0,1.0,2.0,$176.00,3.0,1125.0,5.0,5.0,33.0,273.0,187.0,18.0,4.0,4.86,4.93,4.83,4.97,4.91,4.96,4.84,1.0,1.0,0.0,1.67,108.0,19008.0,2.0,1.0,0.0,3.0,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire rental unit,Entire home/apt,05/04/2016,09/06/2025,t,t
11176974,58166745.0,38.90455,-77.05514,100%,100%,6.0,4.0,1.0,2.0,$154.00,1.0,29.0,8.0,36.0,56.0,326.0,584.0,53.0,2.0,4.81,4.91,4.76,4.93,4.87,4.91,4.72,4.0,4.0,0.0,5.18,255.0,39270.0,1.0,5.0,0.0,2.8,1125.0,Entire rental unit,,within an hour,t,t,"West End, Foggy Bottom, GWU",Entire rental unit,Entire home/apt,14/03/2016,26/05/2025,t,t
11183754,10532812.0,38.88973,-76.99003,100%,98%,1.0,2.0,1.0,1.0,$151.00,3.0,8.0,19.0,33.0,63.0,319.0,381.0,39.0,4.0,4.95,4.99,4.96,4.99,4.97,4.96,4.93,1.0,1.0,0.0,3.37,234.0,35334.0,0.0,1.0,0.0,3.0,8.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,08/03/2016,09/06/2025,f,t
